brand,request_date,marketplace,order_id,return_id,reason_to_return,customer_comment,sku,quantity,amount,courier,tracking_no,return_delivered_date,warehouse_received,status
Brand,Request Date,Marketplace,Order ID,Return ID,Reason to Return,Customer Comment,SKU,Quantity,Amount,Courier,Tracking No.,Return Delivered Date,Warehouse Received Date,Status
Lamy,4/29/2026,Shopee,260425Q7THT615,26042903JWNH7AW,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101292191,1,"4,425.00",,TH02068NBCU96C,5/5/2026,5/8/2026,CLOSE
Lamy,4/29/2026,Shopee,260425Q4NA49GU,260429040W7SAT4,สินค้ามีร่องรอยขีดข่วน / รอยบุบ,คืนเงินและคืนสินค้า,101287323,1,"4,143.00",,SDOFRTN49914524,5/5/2026,,CLOSE
Lamy,4/29/2026,Shopee,260425QRAPSAX8,26042904UPCFMVD,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101288301,1,2584,,SDOFRTN25734709,5/6/2026,5/7/2026,CLOSE
Lamy,4/25/2026,Shopee,260425R0N2QT64,,failed delivery,,101287612,1,2800,,TH01448MZHGZ0A,4/29/2026,,CLOSE
Lamy,4/30/2026,Shopee,2604292PGT91QU,260430074DBB12D,ความเสียหายอื่น ๆ,คืนเงินและคืนสินค้า,101287577,1,884,,TH02068NKKT59C,5/5/2026,5/8/2026,CLOSE
Lamy,5/1/2026,Shopee,260426SMY8AE8T,26050109M681NKY,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101288414,1,158,,TH02068NNE4S5C,5/5/2026,,CLOSE
Lamy,4/25/2026,Shopee,260425PSE88U3A,2605080U73ER55E,ความเสียหายอื่น ๆ,คืนเงินและคืนสินค้า,101287310,1,2736,,TH02068PVDF91C,5/18/2026,,CLOSE
Lamy,5/6/2026,Shopee,260506NWU41B5V,2605090VT49HTE7,ผู้ซื้อไม่ได้รับสินค้า,คืนเงินเท่านั้น,101305206,1,825,,None,Request cancelled,,CLOSE
Lamy,5/20/2026,Shopee,260513ATCWG8FF,2605200TY4KUY2M,ได้รับสินค้ามีตำหนิ,คืนเงินและคืนสินค้า,101289796,1,536,,6.59825E+11,5/22/2026,,CLOSE
Lamy,5/24/2026,Lazada,1103606335647680,7.71396E+14,Wrong items delivered,,101287393,,569.5,,LEXCRPU001584951,5/28/2026,,CLOSE
Lamy,5/21/2026,Shopee,260516JJ6UV7AM,2605210196V47KR,ได้รับสินค้ามีตำหนิ,คืนเงินและคืนสินค้า,101288403,2,153,,TH264315382795B,5/26/2026,5/27/2026,CLOSE
Lamy,5/23/2026,Shopee,260516JSC1MB85,260523064HME6HA,ได้รับสินค้ามีตำหนิ,คืนเงินและคืนสินค้า,101288301,1,2584,,TH02068RGT1J5C,None,,CLOSE
Lamy,5/31/2026,Shopee,260528KE15Y81J,2605310SR6FTXSH,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101288414,1,132,,TH02068SG7JF4C,6/4/2026,6/4/2026,CLOSE
Lamy,6/1/2026,Shopee,260529KVMYUHUG,26060100N3BET0Y,ผู้ซื้อไม่ได้รับสินค้า,คืนเงินเท่านั้น,101305207,1,770,,None,None,,CLOSE
Lamy,6/10/2026,Lazada,1108463755152810,7.73308E+14,Item/ quality doesn't match description or pictures,,101288301,1,2471.4,,LEX TH,6/13/2026,,CLOSE
Lamy,6/5/2026,Shopee,260531TS7B2270,2606050A0BVD0Q8,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101289836,1,1635,,TH02068T7GVN4C,None,6/15/2026,CLOSE
Lamy,6/9/2026,Shopee,2606023763B0QP,2606090KETNDF3Y,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101305209,1,712,,TH02068TX32Y0C,6/15/2026,6/15/2026,CLOSE
Lamy,6/10/2026,Shopee,260606C8B9TWQB,2606100NVBKWKEC,"ผู้ซื้อได้รับสินค้าไม่ถูกต้องตามคำสั่งซื้อ เช่น ผิดไซส์, ผิดสี, สินค้าอื่น",คืนเงินและคืนสินค้า,101307742,1,779,,TH02068U18DH9C,6/15/2026,6/15/2026,CLOSE
Lamy,6/10/2026,Shopee,260607DEN0K57G,2606100QBE434EF,ได้รับสินค้ามีตำหนิ,คืนเงินและคืนสินค้า,101288311,1,1344,,TH02068U533A5C,6/15/2026,6/15/2026,CLOSE
Lamy,6/14/2026,Shopee,260601VHR7AH96,260614041GFVVMW,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101289835,1,1472,,SDOFRTN91643953,Wait,6/22/2026,CLOSE
Lamy,6/15/2026,Shopee,260606CDTXSXRA,26061506ARCE57E,ได้รับสินค้ามีตำหนิ,คืนเงินและคืนสินค้า,101287966,1,547,,TH02068URXN99C,Wait,6/24/2026,CLOSE
Lamy,6/17/2026,Shopee,260605ATPV1NKK,2606170BDK9H3TM,สินค้ามีร่องรอยขีดข่วน / รอยบุบ,คืนเงินและคืนสินค้า,101287422,1,549,,TH02068V062A7C,Wait,6/24/2026,CLOSE
Lamy,6/25/2026,Lazada,1099641093232370,7.72684E+14,Change of mind,,101288010,1,532.82,,LEXCRPU001644523,6/29/2026,6/30/2026,CLOSE
Lamy,6/25/2026,Lazada,1099641093232370,7.72684E+14,Change of mind,,101288574,1,266.41,,LEXCRPU001647192,6/29/2026,,CLOSE
Lamy,6/25/2026,Lazada,1099641093232370,7.72684E+14,Change of mind,,101288574,1,266.41,,LEXCRPU001647192,6/29/2026,,CLOSE
Lamy,6/25/2026,Lazada,1102805054789230,7.72626E+14,Change of mind,,101287817,1,612.95,,TH02068W2FAJ5C,None,,CLOSE
Lamy,6/24/2026,Lazada,1099827686408580,7.73811E+14,Item is defective or not working as intended,,101287440,1,534.6,,TH02068W0S5N2C,7/6/2026,7/6/2026,CLOSE
Lamy,6/19/2026,Shopee,260607DDS5V6WW,2606190GBUN8SQX,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101287765,1,264,,TH02068VJAJR2C,Delivery Failed,,CLOSE
Lamy,6/23/2026,Shopee,260620KEMFX39U,2606230U07EQ32K,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101288295,1,"1,492.00",,TH02068VQ9FC3C,None,,CLOSE
Lamy,6/25/2026,Shopee,260622PD8TMR6T,26062501FXHVQ6S,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101288004,1,1555,,6.55778E+11,None,,CLOSE
Lamy,6/25/2026,Shopee,260622R978K5MQ,26062501JSP7KA7,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101288005,1,1620,,TH02068VW3ZW9C,None,,CLOSE
Lamy,6/25/2026,Shopee,260618C0PYKDCA,26062603007M9M1,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101288497,1,425,,TH02068VZB4V2C,Delivery Failed,,CLOSE
Lamy,6/27/2026,Shopee,260621M2XT202K,26062705YUSABB7,ได้รับสินค้ามีตำหนิ,คืนเงินและคืนสินค้า,101288300,1,3009,,TH265310160766Z,7/2/2026,7/6/2026,CLOSE
Lamy,6/27/2026,Shopee,26062643C54C3P,26062706X4S39HW,ได้รับสินค้ามีตำหนิ,คืนเงินและคืนสินค้า,101288300,1,2539,,TH02068W61VR6C,7/7/2026,7/16/2026,CLOSE
Lamy,6/29/2026,Shopee,2606250KV77P4W,2606290BT6KGY5T,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101305209,1,699,,TH02068WCX9W5C,7/6/2026,7/16/2026,CLOSE
Lamy,6/29/2026,Shopee,26062644BVU00H,2606290BYEMC1D9,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101288299,1,2411,,TH02068WDG273C,7/6/2026,7/16/2026,CLOSE
Lamy,6/29/2026,Shopee,2606276D6RN58P,2606290C53G8QE8,ได้รับสินค้ามีตำหนิ,คืนเงินและคืนสินค้า,101288299,1,"2,455",,TH02068WE3898C,7/7/2026,,OPEN
Lamy,6/29/2026,Shopee,2606276QHTYDE1,2606290CW5DE9G7,ความเสียหายอื่น ๆ,คืนเงินและคืนสินค้า,101287491,1,542,,TH02068WFCXW5C,7/8/2026,,OPEN
Lamy,6/30/2026,Shopee,260628AA0S5R4Y,2606300FBS8P024,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101289245,1,217,,TH02068WM29S8C,7/7/2026,7/7/2026,CLOSE
Lamy,6/26/2026,Shopee,2606251FSW28PQ,,failed delivery,,101288004,1,960,,TH03028VVY624A,6/28/2026,7/6/2026,CLOSE
Lamy,6/24/2026,Shopee,260623SY0KSQM7,,failed delivery,,101347551,1,720,,TH01058VNJT11A,6/26/2026,6/26/2026,CLOSE
Lamy,7/1/2026,Shopee,260629BWFN9EGN,2607010HBM556Q4,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101288300,1,2584,,TH268526066561C,7/4/2026,7/6/2026,CLOSE
Lamy,7/1/2026,Shopee,2606250PB8E2P1,2607010HKKUPC82,สินค้ามีร่องรอยขีดข่วน / รอยบุบ,คืนเงินและคืนสินค้า,101287323,1,4031,,TH02068WQNCE3C,None,,CLOSE
Lamy,7/2/2026,Shopee,260630E8HBXY6G,2607020M5CXK3FY,ความเสียหายอื่น ๆ,คืนเงินและคืนสินค้า,101287377,1,412,,TH02068WV2UC4C,None,,CLOSE
Lamy,6/30/2026,Shopee,260629CVD381QF,,failed delivery,,101288101,1,820,,TH04058WFE5X7C,7/2/2026,2-Jul-26,CLOSE
Lamy,7/6/2026,Shopee,260706008VCUC5,,failed delivery,,101287443,1,990,,TH01428X77RW6A0,7/9/2026,9-Jul-26,CLOSE
Lamy,7/6/2026,Shopee,260706008VCUC5,,failed delivery,,101287482,1,"1,395",,TH01428X77RW6A0,7/9/2026,9-Jul-26,CLOSE
Lamy,7/6/2026,Shopee,260705V0CCBAE7,,failed delivery,,101292191,1,990,,TH01428X5X0R5A0,7/9/2026,9-Jul-26,CLOSE
Lamy,7/8/2026,Shopee,2607061CQWD80V,26070806E2CPPB4,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101287563,2,"2,482.00",,TH02068XRSY64C,Wait,,
Lamy,7/8/2026,Shopee,2607061CQWD80V,26070806E2CPPB4,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101292176,1,"2,482.00",,TH02068XRSY64C,Wait,,
Lamy,7/8/2026,Shopee,2607061CQWD80V,26070806E2CPPB4,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101292191,1,2482,,TH02068XRSY64C,Wait,,
Lamy,7/12/2026,Shopee,26062779WQ5RB3,2607120G1WW596D,ความเสียหายอื่น ๆ,คืนเงินและคืนสินค้า,101288300,1,"2,496.00",,TH02068Y6AUJ7C,Wait,,
Lamy,7/13/2026,Shopee,2607085329S49M,2607130K03T7J43,ฉันต้องการคืนสินค้าในสภาพสมบูรณ์,คืนเงินและคืนสินค้า,101288300,1,"2,548.00",,TH02068YBJ3U7C,Wait,,
Lamy,7/14/2026,Shopee,260714NEKD5VNX,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : อื่นๆ,101287893,1,415,,TH01508YFCA68B1,,,
Lamy,7/12/2026,Shopee,260712EW0AW8G6,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : ต้องการแก้ไขรายละเอียดคำสั่งซื้อ,101347509,1,850,,TH04038Y4B457A1,,,
Lamy,7/7/2026,Shopee,26070740AHU2UY,,Cancelled,ยกเลิกโดยอัตโนมัติจากระบบของ Shopee <br>เหตุผล : การจัดส่งไม่สำเร็จ,101287893,1,415,,TH01428XJBUB6A0,7/13/2026,13-Jul-26,CLOSE
Lamy,7/12/2026,Shopee,260712EVJWP69W,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : ต้องการแก้ไขรายละเอียดคำสั่งซื้อ,101347509,1,850,,TH04038Y4AW84A,,,
Lamy,7/12/2026,Shopee,260712EVJWP69W,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : ต้องการแก้ไขรายละเอียดคำสั่งซื้อ,101347536,1,720,,TH04038Y4AW84A,,,
Lamy,7/7/2026,Shopee,2607071QWNAF5N,,Cancelled,ยกเลิกโดยอัตโนมัติจากระบบของ Shopee <br>เหตุผล : การจัดส่งไม่สำเร็จ,101292176,1,880,,TH01318XBFG81A1,7/11/2026,7/11/2026,CLOSE
Lamy,7/10/2026,Shopee,2607109BP514RG,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : อื่นๆ,101347537,1,720,,TH01318XWQ531A0,,,
Lamy,7/9/2026,Shopee,2607098JWWG52U,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : ผู้ขายไม่ตอบสนองการสอบถามข้อมูล,101307743,1,1200,,TH20088XW3T23C,,,
Lamy,7/6/2026,Shopee,260706008VCUC5,,Cancelled,ยกเลิกโดยอัตโนมัติจากระบบของ Shopee <br>เหตุผล : การจัดส่งไม่สำเร็จ,101287443,1,990,,TH01428X77RW6A0,7/9/2026,9-Jul-26,CLOSE
Lamy,7/6/2026,Shopee,260706008VCUC5,,Cancelled,ยกเลิกโดยอัตโนมัติจากระบบของ Shopee <br>เหตุผล : การจัดส่งไม่สำเร็จ,101287482,1,1395,,TH01428X77RW6A0,7/9/2026,9-Jul-26,CLOSE
Lamy,7/5/2026,Shopee,260705V0CCBAE7,,Cancelled,ยกเลิกโดยอัตโนมัติจากระบบของ Shopee <br>เหตุผล : การจัดส่งไม่สำเร็จ,101292191,1,990,,TH01428X5X0R5A0,7/9/2026,9-Jul-26,CLOSE
Lamy,7/7/2026,Shopee,26070740JN7WPF,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : ต้องการแก้ไขรายละเอียดคำสั่งซื้อ,101288158,1,1200,,TH01428XJCGB3A0,,,
Lamy,7/7/2026,Shopee,2607073SS5BBA7,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : ต้องการแก้ไขรายละเอียดคำสั่งซื้อ,101347497,1,850,,TH01218XHUGH8B1,,,
Lamy,7/7/2026,Shopee,2607072CQJ7YEJ,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : ต้องการแก้ไขรายละเอียดคำสั่งซื้อ,101287755,1,660,,TH01268XBWW44B0,,,
Lamy,7/7/2026,Shopee,2607071PTQMMV5,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : ต้องการแก้ไขรายละเอียดคำสั่งซื้อ,101288131,1,820,,TH01428XBEB56A0,,,
Lamy,7/7/2026,Shopee,2607071PTQMMV5,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : ต้องการแก้ไขรายละเอียดคำสั่งซื้อ,101292191,1,880,,TH01428XBEB56A0,,,
Lamy,7/6/2026,Shopee,2607061FJDR3C8,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : อื่นๆ,101287756,1,550,,TH01428XB25R2C,,,
Lamy,7/6/2026,Shopee,26070618V10BFG,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : ต้องการแก้ไขรายละเอียดคำสั่งซื้อ,101287765,1,550,,TH01058XAR7E7D1,,,
Lamy,7/5/2026,Shopee,260705UNRGK7SK,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : ต้องการแก้ไขรายละเอียดคำสั่งซื้อ,101292173,1,990,,TH01428X5KQY3A0,,,
Lamy,7/4/2026,Shopee,260704SA8H44YU,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : ต้องการแก้ไขรายละเอียดคำสั่งซื้อ,101288299,1,"3,590.00",,TH04068X31HC3C,,,
Lamy,7/4/2026,Shopee,260704S44C089R,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : จำเป็นต้องเปลี่ยนที่อยู่ในการจัดส่ง,101288300,1,3590,,TH44128X2XCM8A,,,
Lamy,7/3/2026,Shopee,260703PGCW2NX5,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : ต้องการแก้ไขรายละเอียดคำสั่งซื้อ,101288299,1,3590,,TH02038WZ96R3A0,,,
Lamy,7/3/2026,Shopee,260703PUGYJMJA,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : ต้องการแก้ไขรายละเอียดคำสั่งซื้อ,101288395,1,250,,TH06018WZH3N6E,,,
Lamy,7/3/2026,Shopee,260703PQKVYMBW,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : ต้องการแก้ไขรายละเอียดคำสั่งซื้อ,101288301,1,3590,,TH01048WZEBB6A,,,
Lamy,7/1/2026,Shopee,260701GSEQXNUQ,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : อื่นๆ,101288305,1,2400,,TH04038WNQZC0B,,,
Lamy,7/2/2026,Shopee,260702K7KMH2FR,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : อื่นๆ,101347509,1,850,,TH49018WSTZ31D,,,
Lamy,7/1/2026,Shopee,260701FVYVSE3J,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : ต้องการแก้ไขรายละเอียดคำสั่งซื้อ,101288305,1,2400,,TH04038WM09D4B,,,
Lamy,7/8/2026,Shopee,26070740AHU2UY,,failed delivery,,101287893,1,415,,TH01428XJBUB6A0,7/13/2026,13-Jul-26,CLOSE
Lamy,7/7/2026,Shopee,2607071QWNAF5N,,failed delivery,,101292176,1,880,,TH01318XBFG81A1,7/11/2026,7/11/2026,CLOSE
Lamy,16-Jul-26,Lazada,1112693906914290,7.73448E+14,Change of mind,,101287814,1,280,,None,Wait,,
Lamy,16-Jul-26,Shopee,26070618EWC3J5,2607160SCCVUASP,สินค้ามีร่องรอยขีดข่วน / รอยบุบ,คืนเงินและคืนสินค้า,101288131,1,574,,TH02068YN04V3C,Wait,,
Lamy,17-Jul-26,Shopee,260713JX834D19,2607170V7QY3FAW,ผู้ซื้อไม่ได้รับสินค้า,คืนเงินเท่านั้น,101287941,1,590,,None,Wait,,
Lamy,16-Jul-26,Shopee,260716SNST27KX,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : ต้องการแก้ไขรายละเอียดคำสั่งซื้อ,101287510,1,1395,,TH64018YNTN17A,,,
Lamy,15-Jul-26,Shopee,260715QY6SQNCW,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : อื่นๆ,101287893,1,374,,TH64018YKFGW5A,,,
Lamy,16-Jul-26,Shopee,260716R9DC24NT,,Cancelled,ยกเลิกโดยผู้ซื้อ เหตุผล : ต้องการแก้ไขรายละเอียดคำสั่งซื้อ,101288393,2,500,,TH01188YKN4T3A0,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
